ticker,company,period_end,fiscal_quarter,currency,revenue,gross_profit,ebit,ebitda,net_income,eps_diluted,gross_margin_pct,ebit_margin_pct,ebitda_margin_pct,net_margin_pct,period_start,period_type,q4_derived,source
VNP,5N Plus Inc.,2025-12-31,FY2025,USD,391062000.0,117496000.0,75159000.0,92528000.0,50566000.0,0.56,30.045,19.219,23.661,12.93,2025-01-01,FY,False,yfinance
VNP,5N Plus Inc.,2024-12-31,FY2024,USD,289281000.0,77868000.0,32777000.0,49568000.0,14672000.0,0.16,26.918,11.331,17.135,5.072,2024-01-01,FY,False,yfinance
VNP,5N Plus Inc.,2023-12-31,FY2023,USD,242371000.0,57538000.0,27508000.0,43618000.0,15399000.0,0.17,23.74,11.35,17.996,6.353,2023-01-01,FY,False,yfinance
VNP,5N Plus Inc.,2022-12-31,FY2022,USD,264223000.0,48508000.0,-12822000.0,4910000.0,-22999000.0,-0.26,18.359,-4.853,1.858,-8.704,2022-01-01,FY,False,yfinance
ARE,Aecon Group Inc.,2025-12-31,FY2025,CAD,5434678000.0,394085000.0,63484000.0,169650000.0,15162000.0,0.23,7.251,1.168,3.122,0.279,2025-01-01,FY,False,yfinance
ARE,Aecon Group Inc.,2024-12-31,FY2024,CAD,4242731000.0,182547000.0,-52751000.0,35098000.0,-59524000.0,-0.95,4.303,-1.243,0.827,-1.403,2024-01-01,FY,False,yfinance
ARE,Aecon Group Inc.,2023-12-31,FY2023,CAD,4643842000.0,255626000.0,234644000.0,313731000.0,161890000.0,2.1,5.505,5.053,6.756,3.486,2023-01-01,FY,False,yfinance
ARE,Aecon Group Inc.,2022-12-31,FY2022,CAD,4696450000.0,355957000.0,100053000.0,194206000.0,30381000.0,0.47,7.579,2.13,4.135,0.647,2022-01-01,FY,False,yfinance
ABRA,AbraSilver Resource Corp.,2025-12-31,FY2025,CAD,0.0,-2210071.0,-57264684.0,-57188228.0,-57638217.0,-0.38,,,,,2025-01-01,FY,False,yfinance
ABRA,AbraSilver Resource Corp.,2024-12-31,FY2024,CAD,0.0,-1561919.0,-23920146.0,-23899252.0,-25096305.0,-0.21,,,,,2024-01-01,FY,False,yfinance
ABRA,AbraSilver Resource Corp.,2023-12-31,FY2023,CAD,0.0,-1736013.0,-17805184.0,-17793818.0,-18793434.0,-0.17,,,,,2023-01-01,FY,False,yfinance
ABRA,AbraSilver Resource Corp.,2022-12-31,FY2022,CAD,0.0,-1594614.0,-20059296.0,-20052432.0,-20904232.0,-0.2,,,,,2022-01-01,FY,False,yfinance
AAV,Advantage Energy Ltd.,2025-12-31,FY2025,CAD,705939000.0,418349000.0,132602000.0,360643000.0,53051000.0,0.31,59.261,18.784,51.087,7.515,2025-01-01,FY,False,yfinance
AAV,Advantage Energy Ltd.,2024-12-31,FY2024,CAD,550102000.0,298142000.0,82378000.0,281867000.0,21719000.0,0.13,54.198,14.975,51.239,3.948,2024-01-01,FY,False,yfinance
AAV,Advantage Energy Ltd.,2023-12-31,FY2023,CAD,551851000.0,357151000.0,166000000.0,314897000.0,101597000.0,0.59,64.719,30.081,57.062,18.41,2023-01-01,FY,False,yfinance
AAV,Advantage Energy Ltd.,2022-12-31,FY2022,CAD,964366000.0,719436000.0,462735000.0,596652000.0,338667000.0,1.75,74.602,47.983,61.87,35.118,2022-01-01,FY,False,yfinance
AC,Air Canada,2025-12-31,FY2025,CAD,22372000000.0,5286000000.0,1395000000.0,3407000000.0,644000000.0,1.86,23.628,6.235,15.229,2.879,2025-01-01,FY,False,yfinance
AC,Air Canada,2024-12-31,FY2024,CAD,22255000000.0,5455000000.0,1246000000.0,3045000000.0,1720000000.0,4.72,24.511,5.599,13.682,7.729,2024-01-01,FY,False,yfinance
AC,Air Canada,2023-12-31,FY2023,CAD,21833000000.0,6150000000.0,3142000000.0,4845000000.0,2276000000.0,5.96,28.168,14.391,22.191,10.425,2023-01-01,FY,False,yfinance
AC,Air Canada,2022-12-31,FY2022,CAD,16556000000.0,2795000000.0,-628000000.0,1012000000.0,-1700000000.0,-4.75,16.882,-3.793,6.113,-10.268,2022-01-01,FY,False,yfinance
AEM,Agnico Eagle Mines Limited,2025-12-31,FY2025,USD,11907851000.0,6921870000.0,6737353000.0,8382650000.0,4461461000.0,8.86,58.129,56.579,70.396,37.467,2025-01-01,FY,False,yfinance
AEM,Agnico Eagle Mines Limited,2024-12-31,FY2024,USD,8285753000.0,3685597000.0,2908032000.0,4422108000.0,1895581000.0,3.78,44.481,35.097,53.37,22.878,2024-01-01,FY,False,yfinance
AEM,Agnico Eagle Mines Limited,2023-12-31,FY2023,USD,6626909000.0,2201875000.0,2450285000.0,3942056000.0,1941307000.0,3.95,33.226,36.975,59.486,29.294,2023-01-01,FY,False,yfinance
AEM,Agnico Eagle Mines Limited,2022-12-31,FY2022,USD,5741162000.0,2003150000.0,1176796000.0,2271487000.0,670249000.0,1.53,34.891,20.498,39.565,11.674,2022-01-01,FY,False,yfinance
AQN,Algonquin Power & Utilities Corp.,2025-12-31,FY2025,USD,2433600000.0,1793800000.0,526700000.0,927000000.0,180800000.0,0.27,73.71,21.643,38.092,7.429,2025-01-01,FY,False,yfinance
AQN,Algonquin Power & Utilities Corp.,2024-12-31,FY2024,USD,2319500000.0,1718700000.0,566500000.0,1043200000.0,-1380500000.0,-1.9,74.098,24.423,44.975,-59.517,2024-01-01,FY,False,yfinance
AQN,Algonquin Power & Utilities Corp.,2023-12-31,FY2023,USD,2403924000.0,1660420000.0,265985000.0,732981000.0,28674000.0,0.03,69.071,11.065,30.491,1.193,2023-01-01,FY,False,yfinance
AQN,Algonquin Power & Utilities Corp.,2022-12-31,FY2022,USD,2765013000.0,1898659000.0,-75920000.0,379600000.0,-211989000.0,-0.33,68.667,-2.746,13.729,-7.667,2022-01-01,FY,False,yfinance
AGI,Alamos Gold Inc.,2025-12-31,FY2025,USD,1808800000.0,999300000.0,1100300000.0,1310000000.0,885800000.0,2.1,55.247,60.83,72.424,48.972,2025-01-01,FY,False,yfinance
AGI,Alamos Gold Inc.,2024-12-31,FY2024,USD,1346900000.0,595800000.0,516600000.0,735000000.0,284300000.0,0.69,44.235,38.355,54.57,21.108,2024-01-01,FY,False,yfinance
AGI,Alamos Gold Inc.,2023-12-31,FY2023,USD,1023300000.0,385600000.0,304000000.0,494200000.0,210000000.0,0.53,37.682,29.708,48.295,20.522,2023-01-01,FY,False,yfinance
