ticker,shares_outstanding,currency,sector,company,market_cap_info,pe_forward,dividend_yield,beta
VNP,89935323.0,USD,Materials,5N Plus Inc.,2679173376.0,24.06691,,
ARE,68529529.0,CAD,Industrials,Aecon Group Inc.,3375079168.0,23.20377,1.7,1.235
ABRA,164504146.0,CAD,Materials,AbraSilver Resource Corp.,2391890176.0,-130.69662,,1.921
AAV,167435718.0,CAD,Energy,Advantage Energy Ltd.,1808305664.0,8.950252,,0.452
AC,287071362.0,CAD,Industrials,Air Canada,7616003584.0,11.027976,,1.646
AEM,506364864.0,USD,Materials,Agnico Eagle Mines Limited,107263270912.0,12.112904,1.21,0.619
AQN,,USD,Utilities,Algonquin Power & Utilities Corp.,,14.335146,4.32,0.9
AGI,418604465.0,USD,Materials,Alamos Gold Inc.,16919992320.0,9.213962,0.58,1.331
ATD,917962609.0,USD,Consumer Discretionary,Alimentation Couche-Tard Inc.,85489860608.0,18.300419,0.94,0.738
AAUC,126547893.0,USD,Materials,Allied Gold Corporation,3337068032.0,2.5636399,,0.608
AP.UN,183955983.0,CAD,Real Estate,Allied Properties Real Estate Investment Trust,2038379264.0,5.395604,7.33,1.094
ALA,312005563.0,CAD,Energy,AltaGas Ltd.,17341270016.0,19.771973,2.4,0.49
AIF,,CAD,Real Estate,Altus Group Limited,,15.914198,1.28,0.81
USA,337542787.0,USD,Materials,Americas Gold And Silver Corporation,2082638976.0,12.212984,,2.198
ARX,565874000.0,CAD,Energy,ARC Resources Ltd.,18713452544.0,13.175299,2.51,0.114
ARIS,206430693.0,USD,Materials,Aris Mining Corporation,4283436800.0,4.915794,,1.94
ACO.X,100985167.0,CAD,Utilities,ATCO Ltd.,8996572160.0,15.415881,2.6,0.427
ATZ,96253101.0,CAD,Consumer Discretionary,Aritzia Inc.,16065310720.0,23.240551,,1.729
ATH,481300000.0,CAD,Energy,Athabasca Oil Corporation,4841878016.0,11.303371,,0.354
ATRL,162583235.0,CAD,Industrials,AtkinsRéalis Group Inc.,14821088256.0,18.674818,0.09,0.948
ASM,175271023.0,USD,Materials,Avino Silver & Gold Mines Ltd.,1456502272.0,7.276708,,2.927
ATS,97007132.0,CAD,Industrials,ATS Corporation,3839542528.0,17.6135,,1.239
AYA,143349749.0,USD,Materials,Aya Gold & Silver Inc.,4612994560.0,16.884089,,1.697
BTO,1332417631.0,USD,Materials,B2Gold Corp.,7301648896.0,3.8750844,2.16,1.35
BDGI,33659562.0,USD,Industrials,Badger Infrastructure Solutions Ltd.,3201360896.0,23.018854,0.86,1.011
BMO,700416619.0,CAD,Financials,Bank of Montreal,177240440832.0,15.531773,2.72,1.152
BNS,1219093484.0,CAD,Financials,Bank of Nova Scotia,149558394880.0,13.205001,3.71,1.209
ABX,1675508360.0,USD,Materials,Barrick Gold Corporation,90041819136.0,8.638827,1.9,1.106
BHC,373990561.0,USD,Healthcare,Bausch Health Companies Inc.,3392094208.0,1.5820066,,0.379
BTE,708888000.0,CAD,Energy,Baytex Energy Corp.,4224972544.0,15.684211,1.41,0.569
BIR,274329604.0,CAD,Energy,Birchcliff Energy Ltd.,1706330112.0,8.638888,1.88,0.143
BCE,932525817.0,CAD,Communication Services,BCE Inc.,28861675520.0,11.574247,5.75,0.595
BDT,55403298.0,CAD,Industrials,Bird Construction Inc.,3890419456.0,18.914225,1.26,0.735
BB,586100431.0,USD,Information Technology,BlackBerry Limited,7314532864.0,38.96062,,1.46
BEI.UN,47766328.0,CAD,Real Estate,Boardwalk Real Estate Investment Trust,3686757632.0,14.085837,2.65,0.836
BBD.B,86557529.0,USD,Industrials,Bombardier Inc.,35860381696.0,25.167356,,2.094
BLX,,CAD,Energy,Boralex Inc.,,59.822582,1.78,-0.031
BYD,27830064.0,USD,Consumer Discretionary,Boyd Group Services Inc.,4156976640.0,20.316196,0.43,0.718
BAM,1596765155.0,USD,Financials,Brookfield Asset Management Ltd.,116820901888.0,24.100918,4.21,1.254
BBUC,206492638.0,USD,Industrials,Brookfield Business Corporation,9017533440.0,,0.85,1.372
BN,2233510540.0,USD,Financials,Brookfield Corporation,140292145152.0,,0.67,1.838
BIP.UN,457606976.0,USD,Utilities,Brookfield Infrastructure Partners L.P.,44280442880.0,26.9723,4.36,1.027
BEP.UN,303275965.0,USD,Energy,Brookfield Renewable Partners L.P.,22712311808.0,-18.640911,4.85,0.995
DOO,,CAD,Consumer Discretionary,BRP Inc.,,18.88798,1.15,1.027
CAE,321579686.0,CAD,Industrials,CAE Inc.,12123553792.0,25.368416,,1.041
CCO,435532978.0,CAD,Energy,Cameco Corporation,57046110208.0,49.65445,0.2,0.992
CM,912800674.0,CAD,Financials,Canadian Imperial Bank of Commerce,151579688960.0,14.918078,2.58,1.277
CAR.UN,153216000.0,CAD,Real Estate,Canadian Apartment Properties Real Estate Investment Trust,5372917248.0,13.785715,4.48,0.926
CNR,604900000.0,CAD,Industrials,Canadian National Railway Company,108307341312.0,19.939463,2.05,1.002
CNQ,2085710000.0,CAD,Energy,Canadian Natural Resources Limited,135425146880.0,12.620903,3.74,0.878
CP,879079224.0,CAD,Industrials,Canadian Pacific Kansas City Limited,112012271616.0,21.263388,0.8,1.219
CTC.A,49189530.0,CAD,Consumer Discretionary,Canadian Tire Corporation Limited,10800901120.0,12.933014,3.52,0.975
CU,205731737.0,CAD,Utilities,Canadian Utilities Limited,15133411328.0,20.017002,3.32,0.599
CPX,157080000.0,CAD,Utilities,Capital Power Corporation,10574625792.0,23.338696,4.22,0.41
CJT,14921249.0,CAD,Industrials,Cargojet Inc.,1320679808.0,21.15091,1.82,1.159
CS,763949339.0,USD,Materials,Capstone Copper Corp.,11031428096.0,10.717493,,2.176
CCL.B,160112031.0,CAD,Consumer Discretionary,CCL Industries Inc.,16327977984.0,17.712132,1.55,0.647
CLS,114982086.0,USD,Information Technology,Celestica Inc.,60220719104.0,18.835949,,1.516
CVE,1844245000.0,CAD,Energy,Cenovus Energy Inc.,74470612992.0,11.130038,2.08,0.495
CG,195607541.0,USD,Materials,Centerra Gold Inc.,4995816448.0,8.911867,1.16,1.565
CEU,210857332.0,CAD,Energy,CES Energy Solutions Corp.,3506557184.0,13.243503,1.19,0.974
GIB.A,182952649.0,CAD,Information Technology,CGI Inc.,21713928192.0,10.73999,0.66,0.17
CCA,30013827.0,CAD,Communication Services,Cogeco Communications Inc.,2545250304.0,6.9907155,6.68,0.664
CSH.UN,324211401.0,CAD,Real Estate,Chartwell Retirement Residences,7128681984.0,91.208336,2.76,0.899
CHP.UN,328024272.0,CAD,Real Estate,Choice Properties Real Estate Investment Trust,11523067904.0,15.307693,4.89,0.782
CIGI,49778127.0,USD,Real Estate,Colliers International Group Inc.,7113651712.0,11.674688,0.31,1.25
CSU,21191530.0,USD,Information Technology,Constellation Software Inc.,68342472704.0,17.068228,0.19,0.694
CRT.UN,110302431.0,CAD,Real Estate,CT Real Estate Investment Trust,4330797056.0,13.87023,5.12,0.85
CRR.UN,110706754.0,CAD,Real Estate,Crombie Real Estate Investment Trust,4528361472.0,26.36923,5.21,0.914
CURA,232910632.0,USD,Healthcare,"Curaleaf Holdings, Inc.",3339920384.0,-13.967971,,1.628
DFY,120215798.0,CAD,Financials,Definity Financial Corporation,9831247872.0,17.631725,1.07,0.127
DML,905016962.0,CAD,Energy,Denison Mines Corp.,3801071104.0,-74.04795,,1.601
DSG,85690827.0,USD,Information Technology,Descartes Systems Group Inc.,9331730432.0,23.895853,,0.186
DSV,810857272.0,USD,Materials,Discovery Silver Corp.,7711252992.0,15.729408,,2.448
DOL,,CAD,Consumer Staples,Dollarama Inc.,,32.77,0.24,0.388
DIR.UN,,CAD,Real Estate,Dream Industrial Real Estate Investment Trust,,12.283186,4.86,1.247
DPM,219368650.0,USD,Materials,Dundee Precious Metals Inc.,11744998400.0,9.051622,0.46,1.276
ELD,260810332.0,USD,Materials,Eldorado Gold Corporation,11666045952.0,5.8987594,1.0,1.403
EMP.A,125689580.0,CAD,Consumer Staples,Empire Company Limited,11477881856.0,13.193813,1.76,0.352
EFN,,USD,Industrials,Element Fleet Management Corp.,,14.612868,1.78,0.494
EMA,305900000.0,CAD,Utilities,Emera Incorporated,22532595712.0,20.262817,3.91,0.452
