ticker,company,sector,cross_listed,currency,price,price_asof,shares_outstanding,market_cap,eps_trailing,pe_trailing,pe_forward,dividend_yield,beta
IIP.UN,InterRent Real Estate Investment Trust,Real Estate,False,CAD,13.539999961853027,2026-07-10,139856082.0,1893651345.0,-0.0178,,19.911764,0.0293,0.891
NXE,NexGen Energy Ltd.,Energy,True,CAD,13.699999809265137,2026-08-01,661909421.0,9068158941.0,,,-48.92857,,1.648
KEL,Kelt Exploration Ltd.,Energy,False,CAD,9.640000343322754,2026-08-01,202198000.0,1949188789.0,0.5,19.28,10.365592,,0.325
PPTA,Perpetua Resources Corp.,Materials,True,USD,29.100000381469727,2026-08-01,125094503.0,3640250085.0,-0.83,,-207.64597,,0.689
IAU,I-80 Gold Corp.,Materials,True,USD,1.9800000190734863,2026-08-01,862051146.0,1706861286.0,-0.09,,10.091777,,2.041
ABRA,AbraSilver Resource Corp.,Materials,False,CAD,14.539999961853027,2026-08-01,164504146.0,2391890277.0,-0.18,,-130.69662,,1.921
GRT.UN,Granite Real Estate Investment Trust,Real Estate,True,CAD,92.55999755859376,2026-08-01,,,5.0922,18.177,13.939759,3.69,
NTR,Nutrien Ltd.,Materials,True,USD,94.20999908447266,2026-08-01,480023548.0,45223018018.0,3.97,23.73,13.0004635,3.23,1.061
BDGI,Badger Infrastructure Solutions Ltd.,Industrials,False,USD,95.11000061035156,2026-08-01,33659562.0,3201360962.0,1.35,70.452,23.018854,0.86,1.011
IPCO,International Petroleum Corporation,Energy,False,USD,30.31999969482422,2026-08-01,112826752.0,3420907086.0,0.3159,95.966,10.448276,,0.898
WCP,Whitecap Resources Inc.,Energy,True,CAD,16.270000457763672,2026-08-01,1215900000.0,19782693557.0,1.35,12.052,13.336065,4.41,0.69
BBUC,Brookfield Business Corporation,Industrials,True,USD,43.66999816894531,2026-08-01,206492638.0,9017533123.0,0.0112,3896.324,,0.85,1.372
OTEX,Open Text Corporation,Information Technology,True,USD,37.15999984741211,2026-08-01,242662360.0,9017333261.0,1.82,20.418,5.9354715,4.38,1.032
TECK.B,Teck Resources Limited,Materials,True,CAD,91.0199966430664,2026-08-01,483000468.0,43962700976.0,4.93,18.462,18.233757,0.59,1.587
GWO,Great-West Lifeco Inc.,Financials,True,CAD,93.29000091552734,2026-08-01,895200000.0,83513208820.0,4.34,21.495,14.6819515,2.88,0.69
SEA,Seabridge Gold Inc.,Materials,True,CAD,38.33000183105469,2026-08-01,107622939.0,4125187449.0,-0.15,,-119.78126,,1.846
CRT.UN,CT Real Estate Investment Trust,Real Estate,False,CAD,18.170000076293945,2026-08-01,110302431.0,2004195180.0,1.773,10.248,13.87023,5.12,0.85
AAV,Advantage Energy Ltd.,Energy,False,CAD,10.800000190734863,2026-08-01,167435718.0,1808305786.0,0.67,16.119,8.950252,,0.452
TFII,TFI International Inc.,Industrials,True,USD,199.25999450683597,2026-08-01,82193031.0,16377782906.0,4.01,49.691,18.000875,1.4,1.487
SII,Sprott Inc.,Financials,True,USD,147.3300018310547,2026-08-01,25782581.0,3798547706.0,,,23.92789,1.54,1.345
ATRL,AtkinsRéalis Group Inc.,Industrials,False,CAD,91.16000366210938,2026-08-01,162583235.0,14821088298.0,15.15,6.017,18.674818,0.09,0.948
PSK,PrairieSky Royalty Ltd.,Energy,False,CAD,34.09000015258789,2026-08-01,232443000.0,7923981905.0,1.08,31.565,31.179972,3.06,0.86
EIF,Exchange Income Corporation,Industrials,False,CAD,129.05999755859375,2026-08-01,,,2.62,49.26,24.824339,2.2,0.919
MDA,MDA Space Ltd.,Industrials,True,CAD,48.09999847412109,2026-08-01,161919141.0,7788310435.0,0.8735,55.068,26.46274,,
ALA,AltaGas Ltd.,Energy,False,CAD,55.58000183105469,2026-08-01,312005563.0,17341269763.0,3.28,16.945,19.771973,2.4,0.49
L,Loblaw Companies Limited,Consumer Staples,False,CAD,65.30999755859375,2026-08-01,1163888224.0,76013537068.0,2.39,27.326,22.806955,0.94,0.382
CCL.B,CCL Industries Inc.,Consumer Discretionary,False,CAD,95.01000213623048,2026-08-01,160112031.0,15212244407.0,4.75,20.002,17.712132,1.55,0.647
