ticker,yahoo,company,sector,industry,cik,cik_match,cross_listed
VNP,VNP.TO,5N Plus Inc.,Materials,Chemicals,,,False
ABRA,ABRA.TO,AbraSilver Resource Corp.,Materials,Metals & Mining,,,False
AAV,AAV.TO,Advantage Energy Ltd.,Energy,Oil & Gas Exploration and Production,,,False
ARE,ARE.TO,Aecon Group Inc.,Industrials,Construction & Engineering,0001309167,name,True
AEM,AEM.TO,Agnico Eagle Mines Limited,Materials,Metals & Mining,0000002809,name,True
AC,AC.TO,Air Canada,Industrials,Transportation,,,False
AGI,AGI.TO,Alamos Gold Inc.,Materials,Metals & Mining,0001178819,name,True
AQN,AQN.TO,Algonquin Power & Utilities Corp.,Utilities,Regulated Utilities,0001174169,name,True
ATD,ATD.TO,Alimentation Couche-Tard Inc.,Consumer Discretionary,Specialty Retail,,,False
AAUC,AAUC.TO,Allied Gold Corporation,Materials,Metals & Mining,0001993344,name,True
AP.UN,AP-UN.TO,Allied Properties Real Estate Investment Trust,Real Estate,REITs,,,False
ALA,ALA.TO,AltaGas Ltd.,Energy,Oil & Gas Storage/Transport,,,False
AIF,AIF.TO,Altus Group Limited,Real Estate,Real Estate,,,False
USA,USA.TO,Americas Gold And Silver Corporation,Materials,Metals & Mining,,,False
ARX,ARX.TO,ARC Resources Ltd.,Energy,Oil & Gas Exploration and Production,,,False
ARIS,ARIS.TO,Aris Mining Corporation,Materials,Metals & Mining,0001964504,name,True
ATZ,ATZ.TO,Aritzia Inc.,Consumer Discretionary,Specialty Retail,,,False
ACO.X,ACO-X.TO,ATCO Ltd.,Utilities,Regulated Utilities,,,False
ATH,ATH.TO,Athabasca Oil Corporation,Energy,Oil & Gas Exploration and Production,,,False
ATRL,ATRL.TO,AtkinsRéalis Group Inc.,Industrials,Construction & Engineering,,,False
ATS,ATS.TO,ATS Corporation,Industrials,Industrial Products,0001394832,ticker+name,True
ASM,ASM.TO,Avino Silver & Gold Mines Ltd.,Materials,Metals & Mining,0000316888,name,True
AYA,AYA.TO,Aya Gold & Silver Inc.,Materials,Metals & Mining,0001826836,name,True
BTO,BTO.TO,B2Gold Corp.,Materials,Metals & Mining,0001429937,name,True
BDGI,BDGI.TO,Badger Infrastructure Solutions Ltd.,Industrials,Construction & Engineering,,,False
BMO,BMO.TO,Bank of Montreal,Financials,Banks,0000927971,ticker+name,True
BNS,BNS.TO,Bank of Nova Scotia,Financials,Banks,0000009631,name,True
ABX,ABX.TO,Barrick Gold Corporation,Materials,Metals & Mining,,,False
BHC,BHC.TO,Bausch Health Companies Inc.,Healthcare,Pharmaceuticals,0000885590,name,True
BTE,BTE.TO,Baytex Energy Corp.,Energy,Oil & Gas Exploration and Production,0001279495,name,True
BCE,BCE.TO,BCE Inc.,Communication Services,Telecommunication Services,0000718940,name,True
BIR,BIR.TO,Birchcliff Energy Ltd.,Energy,Oil & Gas Exploration and Production,,,False
BDT,BDT.TO,Bird Construction Inc.,Industrials,Construction & Engineering,,,False
BB,BB.TO,BlackBerry Limited,Information Technology,Software,0001070235,name,True
BEI.UN,BEI-UN.TO,Boardwalk Real Estate Investment Trust,Real Estate,REITs,,,False
BBD.B,BBD-B.TO,Bombardier Inc.,Industrials,Aerospace & Defense,,,False
BLX,BLX.TO,Boralex Inc.,Energy,Renewable Energy Producers,0000890541,ticker+name,True
BYD,BYD.TO,Boyd Group Services Inc.,Consumer Discretionary,Personal Services,0002091467,name,True
BAM,BAM.TO,Brookfield Asset Management Ltd.,Financials,Asset Management,0001937926,name,True
BBUC,BBUC.TO,Brookfield Business Corporation,Industrials,Conglomerates,0001654795,name,True
BN,BN.TO,Brookfield Corporation,Financials,Asset Management,0001001085,ticker+name,True
BIP.UN,BIP-UN.TO,Brookfield Infrastructure Partners L.P.,Utilities,Regulated Utilities,0001406234,name,True
BEP.UN,BEP-UN.TO,Brookfield Renewable Partners L.P.,Energy,Renewable Energy Producers,0001533232,name,True
DOO,DOO.TO,BRP Inc.,Consumer Discretionary,Vehicles & Parts,0001748797,name,True
CAE,CAE.TO,CAE Inc.,Industrials,Aerospace & Defense,0001173382,name,True
CCO,CCO.TO,Cameco Corporation,Energy,Other Energy Sources,0001009001,name,True
CAR.UN,CAR-UN.TO,Canadian Apartment Properties Real Estate Investment Trust,Real Estate,REITs,,,False
CM,CM.TO,Canadian Imperial Bank of Commerce,Financials,Banks,0001045520,ticker+name,True
CNR,CNR.TO,Canadian National Railway Company,Industrials,Transportation,0000016868,name,True
CNQ,CNQ.TO,Canadian Natural Resources Limited,Energy,Oil & Gas Exploration and Production,0001017413,name,True
CP,CP.TO,Canadian Pacific Kansas City Limited,Industrials,Transportation,0000016875,ticker+name,True
CTC.A,CTC-A.TO,Canadian Tire Corporation Limited,Consumer Discretionary,Specialty Retail,,,False
CU,CU.TO,Canadian Utilities Limited,Utilities,Regulated Utilities,,,False
CPX,CPX.TO,Capital Power Corporation,Utilities,Independent Power Producers,,,False
CS,CS.TO,Capstone Copper Corp.,Materials,Metals & Mining,,,False
CJT,CJT.TO,Cargojet Inc.,Industrials,Transportation,,,False
CCL.B,CCL-B.TO,CCL Industries Inc.,Consumer Discretionary,Containers & Packaging,,,False
CLS,CLS.TO,Celestica Inc.,Information Technology,Hardware & Equipment,0001030894,name,True
CVE,CVE.TO,Cenovus Energy Inc.,Energy,Integrated Oil & Gas,0001475260,name,True
CG,CG.TO,Centerra Gold Inc.,Materials,Metals & Mining,0001854640,name,True
CEU,CEU.TO,CES Energy Solutions Corp.,Energy,Oil & Gas Equipment & Services,,,False
GIB.A,GIB-A.TO,CGI Inc.,Information Technology,Software,0001061574,name,True
CSH.UN,CSH-UN.TO,Chartwell Retirement Residences,Real Estate,Real Estate,,,False
CHP.UN,CHP-UN.TO,Choice Properties Real Estate Investment Trust,Real Estate,REITs,,,False
CCA,CCA.TO,Cogeco Communications Inc.,Communication Services,Telecommunication Services,,,False
