ticker,yahoo,company,sector,industry,cik,cik_match,cross_listed
AEM,AEM.TO,Agnico Eagle Mines Limited,Materials,Metals & Mining,0000002809,name,True
ACO.X,ACO-X.TO,ATCO Ltd.,Utilities,Regulated Utilities,,,False
BNS,BNS.TO,Bank of Nova Scotia,Financials,Banks,0000009631,name,True
ABX,ABX.TO,Barrick Gold Corporation,Materials,Metals & Mining,,,False
BCE,BCE.TO,BCE Inc.,Communication Services,Telecommunication Services,0000718940,name,True
CNR,CNR.TO,Canadian National Railway Company,Industrials,Transportation,0000016868,name,True
CNQ,CNQ.TO,Canadian Natural Resources Limited,Energy,Oil & Gas Exploration and Production,0001017413,name,True
CP,CP.TO,Canadian Pacific Kansas City Limited,Industrials,Transportation,0000016875,ticker+name,True
DOL,DOL.TO,Dollarama Inc.,Consumer Staples,Retailers - Staples,,,False
DPM,DPM.TO,Dundee Precious Metals Inc.,Materials,Metals & Mining,,,False
ENB,ENB.TO,Enbridge Inc.,Energy,Oil & Gas Storage/Transport,0000895728,name,True
EIF,EIF.TO,Exchange Income Corporation,Industrials,Transportation,,,False
IFC,IFC.TO,Intact Financial Corporation,Financials,Insurance,,,False
KXS,KXS.TO,Kinaxis Inc.,Information Technology,Software,,,False
MFC,MFC.TO,Manulife Financial Corporation,Financials,Insurance,0001086888,name,True
NTR,NTR.TO,Nutrien Ltd.,Materials,Agriculture,0001725964,name,True
PSK,PSK.TO,PrairieSky Royalty Ltd.,Energy,Oil & Gas Exploration and Production,,,False
QBR.B,QBR-B.TO,Quebecor Inc.,Communication Services,Telecommunication Services,,,False
RY,RY.TO,Royal Bank of Canada,Financials,Banks,0001000275,name,True
SHOP,SHOP.TO,Shopify Inc.,Information Technology,Software,0001594805,name,True
SIA,SIA.TO,Sienna Senior Living Inc.,Healthcare,Healthcare Providers & Services,,,False
SU,SU.TO,Suncor Energy Inc.,Energy,Integrated Oil & Gas,0000311337,name,True
TRP,TRP.TO,TC Energy Corporation,Energy,Oil & Gas Storage/Transport,0001232384,name,True
TD,TD.TO,Toronto-Dominion Bank,Financials,Banks,0000947263,name,True
TCL.A,TCL-A.TO,Transcontinental Inc.,Consumer Discretionary,Containers & Packaging,,,False
VITL.UN,VITL-UN.TO,Vital Infrastructure Property Trust.,Real Estate,REITs,,,False
