cohort,quarter,quarters_on,still_top25,cohort_avg_score,universe_avg_score,cohort_cum_return,universe_cum_return
2023q1,2023q2,1,15,85.5,54.0,19.26,1.49
2023q1,2023q3,2,13,83.0,53.5,10.1,-3.76
2023q1,2023q4,3,7,81.5,53.6,29.14,4.4
2023q1,2024q1,4,5,79.7,55.3,45.36,11.02
2023q1,2024q2,5,2,75.3,52.7,44.92,2.32
2023q1,2024q3,6,1,73.3,53.2,49.34,9.62
2023q1,2024q4,7,3,71.6,52.6,45.27,6.62
2023q1,2025q1,8,3,68.1,52.6,32.48,1.98
2023q1,2025q2,9,3,69.0,52.6,34.77,3.03
2023q1,2025q3,10,4,69.2,53.5,44.19,7.53
2023q1,2025q4,11,4,69.2,53.2,50.13,6.73
2023q1,2026q1,12,4,69.1,54.1,58.1,5.07
2023q2,2023q3,1,17,84.6,53.5,-4.33,-6.6
2023q2,2023q4,2,10,83.4,53.6,17.4,2.92
2023q2,2024q1,3,9,81.0,55.3,36.09,7.9
2023q2,2024q2,4,6,77.1,52.7,22.49,0.46
2023q2,2024q3,5,4,75.9,53.2,52.08,6.83
2023q2,2024q4,6,5,73.1,52.6,13.93,4.83
2023q2,2025q1,7,4,69.5,52.6,10.25,-0.18
2023q2,2025q2,8,4,69.7,52.6,12.48,0.47
2023q2,2025q3,9,3,69.3,53.5,30.04,5.82
2023q2,2025q4,10,3,69.9,53.2,24.08,3.58
2023q2,2026q1,11,3,69.3,54.1,40.44,3.51
2023q3,2023q4,1,13,84.4,53.6,17.31,8.8
2023q3,2024q1,2,12,83.4,55.3,37.41,13.9
2023q3,2024q2,3,8,79.6,52.7,27.25,7.14
2023q3,2024q3,4,8,79.2,53.2,47.05,13.96
2023q3,2024q4,5,8,76.7,52.6,31.48,11.34
2023q3,2025q1,6,6,73.1,52.6,21.48,5.57
2023q3,2025q2,7,5,73.3,52.6,23.85,7.89
2023q3,2025q3,8,4,72.8,53.5,34.74,11.78
2023q3,2025q4,9,5,73.6,53.2,52.25,9.68
2023q3,2026q1,10,5,73.5,54.1,54.68,9.42
2023q4,2024q1,1,18,85.0,55.3,13.41,3.9
2023q4,2024q2,2,14,83.4,52.7,13.0,-1.83
2023q4,2024q3,3,13,82.9,53.2,32.07,4.45
2023q4,2024q4,4,9,79.4,52.6,23.85,1.86
2023q4,2025q1,5,8,75.7,52.6,13.75,-4.61
2023q4,2025q2,6,6,76.0,52.6,18.7,-0.43
2023q4,2025q3,7,4,76.0,53.5,28.47,3.33
2023q4,2025q4,8,5,76.4,53.2,33.08,1.8
2023q4,2026q1,9,5,76.1,54.1,25.78,0.13
2024q1,2024q2,1,17,84.3,52.7,3.18,-5.54
2024q1,2024q3,2,17,84.1,53.2,16.78,0.0
2024q1,2024q4,3,11,81.4,52.6,7.78,-1.41
2024q1,2025q1,4,10,77.3,52.6,6.88,-8.16
2024q1,2025q2,5,8,77.8,52.6,13.1,-4.71
2024q1,2025q3,6,5,77.2,53.5,18.55,-0.91
2024q1,2025q4,7,6,77.2,53.2,23.06,-3.17
2024q1,2026q1,8,6,76.3,54.1,22.23,-3.95
2024q2,2024q3,1,19,84.7,53.2,13.39,5.71
2024q2,2024q4,2,14,81.7,52.6,11.22,4.21
2024q2,2025q1,3,12,78.5,52.6,8.08,-3.0
2024q2,2025q2,4,10,77.4,52.6,10.3,0.13
2024q2,2025q3,5,8,77.5,53.5,20.25,5.38
2024q2,2025q4,6,7,76.5,53.2,31.16,2.36
2024q2,2026q1,7,7,76.2,54.1,26.0,1.06
2024q3,2024q4,1,16,83.6,52.6,-0.07,-1.72
2024q3,2025q1,2,14,80.0,52.6,-9.56,-8.72
2024q3,2025q2,3,10,79.6,52.6,0.74,-4.99
2024q3,2025q3,4,7,78.8,53.5,12.62,0.0
2024q3,2025q4,5,8,78.4,53.2,17.11,-2.66
2024q3,2026q1,6,9,77.7,54.1,13.54,-5.83
2024q4,2025q1,1,18,82.5,52.6,-3.55,-8.83
2024q4,2025q2,2,12,81.8,52.6,1.75,-4.18
2024q4,2025q3,3,11,80.4,53.5,10.46,1.08
2024q4,2025q4,4,9,79.2,53.2,10.96,-1.95
2024q4,2026q1,5,8,78.3,54.1,9.09,-4.67
