cik,ticker,company,sic,afs,form,period,priceable
1800,ABT,ABBOTT LABORATORIES,2834,1-LAF,10-Q,20230331,Y
1961,,WORLDS INC,7372,4-NON,10-Q,20230331,N
2098,ACU,ACME UNITED CORP,3420,2-ACC,10-Q,20230331,Y
2178,,"ADAMS RESOURCES & ENERGY, INC.",5172,2-ACC,10-Q,20230331,N
2186,BKTI,BK TECHNOLOGIES,3663,4-NON,10-Q,20230331,Y
2488,AMD,ADVANCED MICRO DEVICES INC,3674,1-LAF,10-Q,20230331,Y
2969,APD,"AIR PRODUCTS & CHEMICALS, INC.",2810,1-LAF,10-Q,20230331,Y
3197,CECO,CECO ENVIRONMENTAL CORP,3564,2-ACC,10-Q,20230331,Y
3453,MATX,"MATSON, INC.",4400,1-LAF,10-Q,20230331,Y
3499,ALX,ALEXANDERS INC,6798,2-ACC,10-Q,20230331,Y
3545,ALCO,"ALICO, INC.",0100,2-ACC,10-Q,20230331,Y
3570,LNG,CHENIERE ENERGY INC,4924,1-LAF,10-Q,20230331,Y
4127,SWKS,SKYWORKS SOLUTIONS INC,3674,1-LAF,10-Q,20230331,Y
4281,HWM,HOWMET AEROSPACE INC.,3350,1-LAF,10-Q,20230331,Y
4447,,HESS CORP,2911,1-LAF,10-Q,20230331,N
4457,UHAL,U-HAUL HOLDING CO /NV/,7510,1-LAF,10-K,20230331,Y
4904,,AMERICAN ELECTRIC POWER CO INC,4911,1-LAF,10-Q,20230331,N
4962,AXP,AMERICAN EXPRESS CO,6199,1-LAF,10-Q,20230331,Y
4977,AFL,AFLAC INC,6321,1-LAF,10-Q,20230331,Y
5272,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",6331,1-LAF,10-Q,20230331,Y
5513,UNM,UNUM GROUP,6321,1-LAF,10-Q,20230331,Y
5981,AVD,AMERICAN VANGUARD CORP,2870,2-ACC,10-Q,20230331,Y
6176,AP,AMPCO PITTSBURGH CORP,3561,4-NON,10-Q,20230331,Y
6201,AAL,AMERICAN AIRLINES GROUP INC.,4512,1-LAF,10-Q,20230331,Y
6281,ADI,ANALOG DEVICES INC,3674,1-LAF,10-Q,20230430,Y
6769,,APACHE CORP,1311,4-NON,10-Q,20230331,N
6845,APOG,"APOGEE ENTERPRISES, INC.",3231,1-LAF,10-K,20230228,Y
6951,AMAT,APPLIED MATERIALS INC /DE,3674,1-LAF,10-Q,20230430,Y
6955,EPAC,ENERPAC TOOL GROUP CORP,3590,1-LAF,10-Q,20230531,Y
7084,ADM,ARCHER-DANIELS-MIDLAND CO,2070,1-LAF,10-Q,20230331,Y
7332,,SOUTHWESTERN ENERGY CO,1311,1-LAF,10-Q,20230331,N
7431,AWI,ARMSTRONG WORLD INDUSTRIES INC,3089,1-LAF,10-Q,20230331,Y
7536,ARW,"ARROW ELECTRONICS, INC",5065,1-LAF,10-Q,20230331,Y
7623,ARTW,ARTS WAY MANUFACTURING CO INC,3523,4-NON,10-Q,20230228,Y
