block,decile,era,filers,max_rho,mean_rho,median_conf,median_return,median_score,min_rho,n,n_windows,pct_positive,priceable,rho_W0_W12,rho_W0_W9,scored,section,survival_auc,survival_rate,window
,,,5356,,,0.5,,55.3,,,,,2937,,,2145,window,,,2018q1
,,,6083,,,0.48,,52.0,,,,,3249,,,2896,window,,,2018q2
,,,5764,,,0.5,,53.3,,,,,3127,,,3023,window,,,2018q3
,,,5783,,,0.6,,53.8,,,,,3164,,,3090,window,,,2018q4
,,,5243,,,0.63,,56.0,,,,,3093,,,2835,window,,,2019q1
,,,5958,,,0.6,,55.5,,,,,3433,,,3113,window,,,2019q2
,,,5608,,,0.6,,53.7,,,,,3264,,,3199,window,,,2019q3
,,,5631,,,0.67,,55.6,,,,,3339,,,3269,window,,,2019q4
,,,5313,,,0.67,,51.1,,,,,3343,,,3080,window,,,2020q1
,,,5756,,,0.63,,50.0,,,,,3610,,,3274,window,,,2020q2
,,,5479,,,0.63,,50.0,,,,,3430,,,3344,window,,,2020q3
,,,5617,,,0.7,,50.8,,,,,3555,,,3424,window,,,2020q4
,,,5648,,,0.7,,55.3,,,,,3701,,,3334,window,,,2021q1
,,,6383,,,0.7,,54.7,,,,,4036,,,3547,window,,,2021q2
,,,6269,,,0.67,,53.1,,,,,3903,,,3739,window,,,2021q3
,,,6455,,,0.67,,51.6,,,,,4049,,,3859,window,,,2021q4
,,,6264,,,0.67,,52.0,,,,,4138,,,3781,window,,,2022q1
,,,6999,,,0.67,,49.3,,,,,4507,,,4060,window,,,2022q2
,,,6473,,,0.67,,48.1,,,,,4189,,,4053,window,0.783,99%,2022q3
,,,6452,,,0.68,,48.4,,,,,4279,,,4170,window,0.789,99%,2022q4
,,,6053,,,0.68,,50.0,,,,,4388,,,4132,window,0.666,99%,2023q1
,,,6646,,,0.67,,50.0,,,,,4691,,,4407,window,0.731,99%,2023q2
,,,6019,,,0.67,,50.0,,,,,4343,,,4277,window,0.799,99%,2023q3
,,,5985,,,0.7,,50.0,,,,,4416,,,4361,window,0.788,99%,2023q4
,,,5326,,,0.7,,53.1,,,,,4260,,,4073,window,0.709,99%,2024q1
,,,6145,,,0.68,,50.0,,,,,4845,,,4581,window,0.512,94%,2024q2
,,,5656,,,0.7,,50.0,,,,,4510,,,4406,window,0.781,91%,2024q3
,,,5643,,,0.7,,50.0,,,,,4606,,,4495,window,,,2024q4
,,,5501,,,0.7,,50.4,,,,,4680,,,4424,window,,,2025q1
,,,5958,,,0.7,,50.0,,,,,5120,,,4763,window,,,2025q2
,,,5518,,,0.7,,50.0,,,,,4794,,,4595,window,,,2025q3
,,,5565,,,0.7,,50.0,,,,,4923,,,4691,window,,,2025q4
,,,5605,,,0.7,,52.5,,,,,5091,,,4630,window,,,2026q1
W+0->W+24,,,,0.343,0.1849,,,,-0.0619,,26,,,,,,block,,,
W+0->W+21,,,,0.3429,0.1756,,,,-0.0695,,27,,,,,,block,,,
W+0->W+18,,,,0.3348,0.1694,,,,-0.1701,,28,,,,,,block,,,
W+3->W+24,,,,0.3539,0.1667,,,,-0.103,,26,,,,,,block,,,
W+0->W+15,,,,0.3136,0.1598,,,,-0.2159,,29,,,,,,block,,,
W+6->W+24,,,,0.3203,0.1595,,,,-0.1781,,26,,,,,,block,,,
W+3->W+21,,,,0.339,0.1577,,,,-0.1341,,27,,,,,,block,,,
W+0->W+12,,,,0.322,0.1546,,,,-0.2281,,30,,,,,,block,,,
W+9->W+24,,,,0.3089,0.1512,,,,-0.184,,26,,,,,,block,,,
W+3->W+18,,,,0.318,0.1483,,,,-0.1907,,28,,,,,,block,,,
W+0->W+9,,,,0.3182,0.1482,,,,-0.2407,,31,,,,,,block,,,
W+6->W+21,,,,0.3063,0.1474,,,,-0.2291,,27,,,,,,block,,,
W+0->W+6,,,,0.3615,0.1433,,,,-0.2794,,32,,,,,,block,,,
W+12->W+24,,,,0.3005,0.1403,,,,-0.169,,26,,,,,,block,,,
W+9->W+21,,,,0.3128,0.1394,,,,-0.1989,,27,,,,,,block,,,
W+6->W+18,,,,0.3089,0.1388,,,,-0.2428,,28,,,,,,block,,,
,1,,,,,,-48.44,,,5238,,31,,,,,decile,,,
,2,,,,,,-8.32,,,5238,,46,,,,,decile,,,
,3,,,,,,-1.65,,,5238,,49,,,,,decile,,,
,4,,,,,,9.36,,,5238,,56,,,,,decile,,,
,5,,,,,,11.62,,,5238,,59,,,,,decile,,,
,6,,,,,,14.72,,,5238,,62,,,,,decile,,,
,7,,,,,,14.62,,,5238,,63,,,,,decile,,,
,8,,,,,,13.48,,,5238,,63,,,,,decile,,,
,9,,,,,,16.32,,,5238,,66,,,,,decile,,,
,10,,,,,,17.24,,,5243,,65,,,,,decile,,,
,,2018-2019   (~55-59% priceable),,,,,,,,,8,,,0.0894,0.0952,,era,,,
,,"2020        (~63%, INCLUDES THE COVID CRASH)",,,,,,,,,4,,,-0.1077,-0.1518,,era,,,
,,2021-2022   (~63-66%),,,,,,,,,8,,,0.268,0.2581,,era,,,
,,2023-2026   (~72-91%),,,,,,,,,11,,,0.2209,0.2159,,era,,,
