quarter,as_of,rank,ticker,company,score,confidence,sector,flags,ret_3m,ret_6m,ret_12m
2018q1,2018-03,1,ANET,"ARISTA NETWORKS, INC.",92.2,0.67,Information Technology,,0.86,4.14,23.17
2018q1,2018-03,2,LYB,LYONDELLBASELL INDUSTRIES N.V.,83.8,0.67,Materials,,4.83,-1.3,-17.15
2018q1,2018-03,3,USNA,USANA HEALTH SCIENCES INC,83.0,0.6,Health Care,,34.23,40.34,-2.36
2018q1,2018-03,4,ADBE,ADOBE SYSTEMS INC,82.9,0.7,Information Technology,,12.83,24.93,23.33
2018q1,2018-03,5,SUPN,SUPERNUS PHARMACEUTICALS INC,82.8,0.63,Health Care,,30.68,9.93,-23.49
2018q1,2018-03,6,HCC,"WARRIOR MET COAL, INC.",82.6,0.6,Energy,,25.82,23.63,39.48
2018q1,2018-03,7,KRO,KRONOS WORLDWIDE INC,81.6,0.63,Materials,,0.38,-26.99,-35.37
2018q1,2018-03,8,BIIB,BIOGEN INC.,81.5,0.63,Health Care,,6.0,29.03,-13.67
2018q1,2018-03,9,IPGP,IPG PHOTONICS CORP,81.3,0.67,Information Technology,,-5.46,-33.13,-34.96
2018q1,2018-03,10,NC,NACCO INDUSTRIES INC,80.8,0.63,Energy,,3.2,0.61,18.51
2018q1,2018-03,11,ON,ON SEMICONDUCTOR CORP,80.4,0.7,Information Technology,,-9.08,-24.65,-15.9
2018q1,2018-03,12,HUN,HUNTSMAN CORP,79.5,0.67,Materials,,0.33,-5.9,-21.09
2018q1,2018-03,13,AME,AMETEK INC/,79.1,0.6,Information Technology,,-4.84,4.52,10.01
2018q1,2018-03,14,VEEV,VEEVA SYSTEMS INC,79.1,0.63,Information Technology,expensive_pe,5.26,49.1,73.73
2018q1,2018-03,15,AEIS,ADVANCED ENERGY INDUSTRIES INC,78.6,0.63,Information Technology,,-9.09,-19.17,-22.25
2018q1,2018-03,16,PETS,PETMED EXPRESS INC,78.3,0.63,Consumer Staples,,6.25,-19.8,-43.48
2018q1,2018-03,17,HQY,HEALTHEQUITY INC,78.3,0.63,Industrials,expensive_pe,24.05,55.95,22.2
2018q1,2018-03,18,EBS,EMERGENT BIOSOLUTIONS INC.,78.2,0.6,Health Care,,-4.1,25.03,-4.05
2018q1,2018-03,19,CTSH,COGNIZANT TECHNOLOGY SOLUTIONS CORP,78.0,0.67,Information Technology,,-1.62,-3.65,-9.01
2018q1,2018-03,20,FAST,FASTENAL CO,77.9,0.67,Consumer Discretionary,,-11.18,7.81,21.31
2018q2,2018-06,1,MU,MICRON TECHNOLOGY INC,84.8,0.6,Information Technology,,-13.75,-39.49,-26.41
2018q2,2018-06,2,TXN,TEXAS INSTRUMENTS INC,84.4,0.67,Information Technology,,-2.15,-13.07,7.08
2018q2,2018-06,3,SUPN,SUPERNUS PHARMACEUTICALS INC,84.4,0.67,Health Care,,-15.87,-44.49,-44.71
2018q2,2018-06,4,ADBE,ADOBE SYSTEMS INC,83.6,0.73,Information Technology,,10.72,-7.21,20.85
2018q2,2018-06,5,BIIB,BIOGEN INC.,83.3,0.67,Health Care,,21.73,3.68,-19.42
2018q2,2018-06,6,LYB,LYONDELLBASELL INDUSTRIES N.V.,82.9,0.67,Materials,,-5.85,-22.74,-17.97
2018q2,2018-06,7,USNA,USANA HEALTH SCIENCES INC,82.3,0.63,Health Care,,4.55,2.11,-31.11
2018q2,2018-06,8,ANET,"ARISTA NETWORKS, INC.",82.1,0.7,Information Technology,,3.25,-18.17,0.83
2018q2,2018-06,9,ILMN,ILLUMINA INC,81.7,0.7,Health Care,,31.43,7.39,31.82
2018q2,2018-06,10,ZTS,ZOETIS INC.,80.9,0.6,Health Care,,7.64,0.7,34.08
2018q2,2018-06,11,MGRC,MCGRATH RENTCORP,80.7,0.63,,,-13.43,-17.62,0.76
2018q2,2018-06,12,LOPE,"GRAND CANYON EDUCATION, INC.",80.4,0.6,Consumer Discretionary,,1.07,-13.86,4.85
2018q2,2018-06,13,UI,"UBIQUITI NETWORKS, INC.",80.3,0.67,Information Technology,,17.03,17.94,56.6
2018q2,2018-06,14,MYGN,MYRIAD GENETICS INC,80.0,0.6,Health Care,,23.09,-22.21,-25.66
2018q2,2018-06,15,HQY,HEALTHEQUITY INC,79.9,0.63,Industrials,expensive_pe,25.71,-20.57,-12.92
