ticker,company,sector,cik,in_sp500,in_nasdaq,in_fortune500
ABT,ABBOTT LABORATORIES,,1800,False,False,False
ACU,ACME UNITED CORP,,2098,False,False,False
BKTI,BK TECHNOLOGIES,,2186,False,False,False
AMD,ADVANCED MICRO DEVICES INC,,2488,False,False,False
APD,"AIR PRODUCTS & CHEMICALS, INC.",,2969,False,False,False
CECO,CECO ENVIRONMENTAL CORP,,3197,False,False,False
MATX,"MATSON, INC.",,3453,False,False,False
ALX,ALEXANDERS INC,,3499,False,False,False
ALCO,"ALICO, INC.",,3545,False,False,False
LNG,CHENIERE ENERGY INC,,3570,False,False,False
SWKS,SKYWORKS SOLUTIONS INC,,4127,False,False,False
HWM,HOWMET AEROSPACE INC.,,4281,False,False,False
UHAL,U-HAUL HOLDING CO /NV/,,4457,False,False,False
AXP,AMERICAN EXPRESS CO,,4962,False,False,False
AFL,AFLAC INC,,4977,False,False,False
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",,5272,False,False,False
UNM,UNUM GROUP,,5513,False,False,False
AVD,AMERICAN VANGUARD CORP,,5981,False,False,False
AP,AMPCO PITTSBURGH CORP,,6176,False,False,False
AAL,AMERICAN AIRLINES GROUP INC.,,6201,False,False,False
ADI,ANALOG DEVICES INC,,6281,False,False,False
APOG,"APOGEE ENTERPRISES, INC.",,6845,False,False,False
AMAT,APPLIED MATERIALS INC /DE,,6951,False,False,False
EPAC,ENERPAC TOOL GROUP CORP,,6955,False,False,False
ADM,ARCHER-DANIELS-MIDLAND CO,,7084,False,False,False
AWI,ARMSTRONG WORLD INDUSTRIES INC,,7431,False,False,False
ARW,"ARROW ELECTRONICS, INC.",,7536,False,False,False
ARTW,ARTS WAY MANUFACTURING CO INC,,7623,False,False,False
ASB,ASSOCIATED BANC-CORP,,7789,False,False,False
ATRO,ASTRONICS CORP,,8063,False,False,False
ALOT,"ASTRONOVA, INC.",,8146,False,False,False
AAME,ATLANTIC AMERICAN CORP,,8177,False,False,False
UAVS,AGEAGLE AERIAL SYSTEMS INC.,,8504,False,False,False
ADP,AUTOMATIC DATA PROCESSING INC,,8670,False,False,False
AVY,AVERY DENNISON CORP,,8818,False,False,False
AVT,AVNET INC,,8858,False,False,False
AZZ,AZZ INC,,8947,False,False,False
BMI,BADGER METER INC,,9092,False,False,False
BCPC,BALCHEM CORP,,9326,False,False,False
BALL,BALL CORP,,9389,False,False,False
BRN,BARNWELL INDUSTRIES INC,,10048,False,False,False
BSET,BASSETT FURNITURE INDUSTRIES INC,,10329,False,False,False
BAX,BAXTER INTERNATIONAL INC,,10456,False,False,False
BDX,BECTON DICKINSON & CO,,10795,False,False,False
WRB,BERKLEY W R CORP,,11544,False,False,False
BDL,FLANIGANS ENTERPRISES INC,,12040,False,False,False
BIO,"BIO-RAD LABORATORIES, INC.",,12208,False,False,False
DOMH,DOMINARI HOLDINGS INC.,,12239,False,False,False
HRB,H&R BLOCK INC,,12659,False,False,False
BA,BOEING CO,,12927,False,False,False
GLXZ,"GALAXY GAMING, INC.",,13156,False,False,False
BRID,BRIDGFORD FOODS CORP,,14177,False,False,False
BMY,BRISTOL MYERS SQUIBB CO,,14272,False,False,False
BF-A,BROWN FORMAN CORP,,14693,False,False,False
CAL,CALERES INC,,14707,False,False,False
BRT,BRT APARTMENTS CORP.,,14846,False,False,False
BC,BRUNSWICK CORP,,14930,False,False,False
MTZ,MASTEC INC,,15615,False,False,False
