start_m,end_m,window,n,rho,median_return_pct
0,3,2024-06,2057,0.1795,7.52
0,3,2024-09,2062,0.0782,0.23
0,3,2024-12,2148,0.3043,-8.18
0,3,2025-03,2167,0.074,4.62
0,3,2025-06,2199,0.0049,4.94
0,3,2025-09,2213,0.2921,-2.74
0,3,2025-12,2281,0.2061,-4.2
0,3,2026-03,2293,0.1366,10.37
0,6,2024-06,2057,0.1416,7.09
0,6,2024-09,2062,0.227,-6.49
0,6,2024-12,2148,0.2882,-3.4
0,6,2025-03,2167,0.0173,10.04
0,6,2025-06,2199,0.1878,1.66
0,6,2025-09,2213,0.2894,-6.43
0,6,2025-12,2281,0.1936,6.58
0,9,2024-06,2057,0.2421,-0.12
0,9,2024-09,2062,0.2171,-1.86
0,9,2024-12,2148,0.1803,2.28
0,9,2025-03,2167,0.1577,6.14
0,9,2025-06,2199,0.2011,-0.74
0,9,2025-09,2213,0.252,4.05
0,12,2024-06,2057,0.231,6.2
0,12,2024-09,2062,0.1322,3.79
0,12,2024-12,2148,0.2454,-0.04
0,12,2025-03,2167,0.1777,5.12
0,12,2025-06,2199,0.1844,9.85
0,15,2024-06,2057,0.1622,11.68
0,15,2024-09,2062,0.1901,1.16
0,15,2024-12,2148,0.2556,-3.02
0,15,2025-03,2167,0.1528,15.8
0,18,2024-06,2057,0.2018,9.2
0,18,2024-09,2062,0.2289,-2.1
0,18,2024-12,2148,0.2178,8.67
0,21,2024-06,2057,0.2504,4.1
0,21,2024-09,2062,0.1849,8.78
0,24,2024-06,2057,0.2094,16.07
3,6,2024-06,2057,0.0467,0.22
3,6,2024-09,2062,0.273,-7.89
3,6,2024-12,2150,0.0652,4.42
3,6,2025-03,2169,-0.0338,4.96
3,6,2025-06,2202,0.2606,-2.7
3,6,2025-09,2214,0.1766,-4.1
3,6,2025-12,2281,0.1072,10.38
3,9,2024-06,2057,0.2101,-6.52
3,9,2024-09,2062,0.2513,-3.18
3,9,2024-12,2150,0.0056,9.95
3,9,2025-03,2169,0.1527,1.73
3,9,2025-06,2202,0.2692,-6.28
3,9,2025-09,2214,0.1543,7.06
3,12,2024-06,2057,0.2024,-1.91
3,12,2024-09,2062,0.1403,2.8
3,12,2024-12,2150,0.1353,6.13
3,12,2025-03,2169,0.1665,-0.35
3,12,2025-06,2202,0.2211,4.13
3,15,2024-06,2057,0.1261,3.65
3,15,2024-09,2062,0.2008,0.12
3,15,2024-12,2150,0.1559,5.13
3,15,2025-03,2169,0.1476,10.21
3,18,2024-06,2057,0.1778,1.03
3,18,2024-09,2062,0.2363,-2.95
3,18,2024-12,2150,0.1287,16.24
3,21,2024-06,2057,0.2265,-2.28
3,21,2024-09,2062,0.1897,8.98
3,24,2024-06,2057,0.1829,8.69
6,9,2024-06,2057,0.2757,-7.84
6,9,2024-09,2063,0.0459,4.4
6,9,2024-12,2152,-0.0389,4.96
6,9,2025-03,2170,0.247,-2.56
6,9,2025-06,2203,0.1717,-3.97
6,9,2025-09,2214,0.0849,10.5
6,12,2024-06,2057,0.2467,-3.05
6,12,2024-09,2063,-0.0196,10.28
6,12,2024-12,2152,0.1345,1.76
6,12,2025-03,2170,0.2473,-6.09
6,12,2025-06,2203,0.1341,7.13
6,15,2024-06,2057,0.1472,2.77
6,15,2024-09,2063,0.0936,6.75
6,15,2024-12,2152,0.1543,-0.35
6,15,2025-03,2170,0.1956,4.46
6,18,2024-06,2057,0.2013,0.1
6,18,2024-09,2063,0.1389,5.72
6,18,2024-12,2152,0.1289,10.37
6,21,2024-06,2057,0.2465,-2.97
6,21,2024-09,2063,0.1048,17.47
6,24,2024-06,2057,0.1992,8.9
9,12,2024-06,2057,0.0324,4.4
9,12,2024-09,2064,-0.0641,5.15
9,12,2024-12,2152,0.2239,-2.57
9,12,2025-03,2171,0.1563,-3.84
9,12,2025-06,2203,0.0629,10.55
9,15,2024-06,2057,-0.0226,10.12
9,15,2024-09,2064,0.0965,2.05
9,15,2024-12,2152,0.2306,-6.12
9,15,2025-03,2171,0.1148,7.28
9,18,2024-06,2057,0.0863,6.7
9,18,2024-09,2064,0.1433,0.75
9,18,2024-12,2152,0.1731,4.58
9,21,2024-06,2057,0.1393,5.72
9,21,2024-09,2064,0.1099,11.24
9,24,2024-06,2057,0.1069,17.35
12,15,2024-06,2058,-0.0554,5.03
12,15,2024-09,2064,0.194,-2.32
12,15,2024-12,2153,0.1593,-3.92
12,15,2025-03,2171,0.0465,10.59
12,18,2024-06,2058,0.0914,2.11
12,18,2024-09,2064,0.2222,-5.8
12,18,2024-12,2153,0.1026,7.54
12,21,2024-06,2058,0.146,0.82
12,21,2024-09,2064,0.155,5.26
12,24,2024-06,2058,0.1152,11.16
15,18,2024-06,2058,0.1827,-2.23
15,18,2024-09,2065,0.1608,-3.75
15,18,2024-12,2153,0.0256,10.75
15,21,2024-06,2058,0.2254,-5.76
15,21,2024-09,2065,0.0934,8.42
15,24,2024-06,2058,0.1627,5.09
18,21,2024-06,2059,0.1715,-3.7
18,21,2024-09,2065,0.007,10.99
18,24,2024-06,2059,0.1066,8.36
21,24,2024-06,2060,0.0085,10.91
