ticker,company,sector,cik,in_sp500,in_nasdaq,in_fortune500
A,Agilent Technologies,Health Care,0001090872,True,False,False
AA,Alcoa Corp,,0001675149,False,False,True
AACB,Artius II Acquisition Inc.,,0002034334,False,True,False
AACI,Armada Acquisition Corp. III,,0002092897,False,True,False
AACO,Abony Acquisition Corp. I,,0002099906,False,True,False
AACP,Apogee Acquisition Corp,,0002102123,False,True,False
AAL,"American Airlines Group, Inc.",,0000006201,False,True,True
AAME,Atlantic American Corporation,,0000008177,False,True,False
AAOI,"Applied Optoelectronics, Inc.",,0001158114,False,True,False
AAON,"AAON, Inc.",,0000824142,False,True,False
AAP,ADVANCE AUTO PARTS INC,,0001158449,False,False,True
AAPG,Ascentage Pharma Group International,,0002023311,False,True,False
AAPL,Apple Inc.,Information Technology,0000320193,True,True,True
AARD,"Aardvark Therapeutics, Inc.",,0001774857,False,True,False
ABAT,American Battery Technology Company,,0001576873,False,True,False
ABBV,AbbVie,Health Care,0001551152,True,False,True
ABCL,AbCellera Biologics Inc.,,0001703057,False,True,False
ABEO,Abeona Therapeutics Inc.,,0000318306,False,True,False
ABG,ASBURY AUTOMOTIVE GROUP INC,,0001144980,False,False,True
ABLV,Able View Global Inc.,,0001957489,False,True,False
ABNB,Airbnb,Consumer Discretionary,0001559720,True,True,True
ABOS,"Acumen Pharmaceuticals, Inc.",,0001576885,False,True,False
ABSI,Absci Corporation,,0001672688,False,True,False
ABT,Abbott Laboratories,Health Care,0000001800,True,False,True
ABTC,American Bitcoin Corp.,,0001755953,False,True,False
ABTS,Abits Group Inc,,0001864055,False,True,False
ABUS,Arbutus Biopharma Corporation,,0001447028,False,True,False
ABVC,"ABVC BioPharma, Inc.",,0001173313,False,True,False
ACAA,Averin Capital Acquisition Corp.,,0002096900,False,True,False
ACAD,ACADIA Pharmaceuticals Inc.,,0001070494,False,True,False
ACB,Aurora Cannabis Inc.,,0001683541,False,True,False
ACCL,Acco Group Holdings Limited,,0002038378,False,True,False
ACDC,ProFrac Holding Corp.,,0001881487,False,True,False
ACET,"Adicet Bio, Inc.",,0001720580,False,True,False
ACFN,"Acorn Energy, Inc.",,0000880984,False,True,False
ACGC,ACP Holdings Acquisition Corp.,,0002111542,False,True,False
ACGL,Arch Capital Group,Financials,0000947484,True,True,False
ACHC,"Acadia Healthcare Company, Inc.",,0001520697,False,True,False
ACHV,"Achieve Life Sciences, Inc.",,0000949858,False,True,False
ACI,"Albertsons Companies, Inc.",,0001646972,False,False,True
ACIC,American Coastal Insurance Corporation,,0001401521,False,True,False
ACIU,AC Immune SA,,0001651625,False,True,False
ACIW,"ACI Worldwide, Inc.",,0000935036,False,True,False
ACLS,"Axcelis Technologies, Inc.",,0001113232,False,True,False
ACM,AECOM,,0000868857,False,False,True
ACMR,"ACM Research, Inc.",,0001680062,False,True,False
ACN,Accenture,Information Technology,0001467373,True,False,False
ACNB,ACNB Corporation,,0000715579,False,True,False
ACNT,Ascent Industries Co.,,0000095953,False,True,False
ACOG,Alpha Cognition Inc.,,0001655923,False,True,False
ACON,"Aclarion, Inc.",,0001635077,False,True,False
ACRS,"Aclaris Therapeutics, Inc.",,0001557746,False,True,False
ACRV,"Acrivon Therapeutics, Inc.",,0001781174,False,True,False
ACT,"Enact Holdings, Inc.",,0001823529,False,True,False
ACTG,Acacia Research Corporation,,0000934549,False,True,False
ACTU,"Actuate Therapeutics, Inc.",,0001652935,False,True,False
ACXP,"Acurx Pharmaceuticals, Inc.",,0001736243,False,True,False
ADAC,American Drive Acquisition Company,,0002083002,False,True,False
ADAG,Adagene Inc.,,0001818838,False,True,False
ADAM,"Adamas Trust, Inc.",,0001273685,False,True,False
ADBE,Adobe Inc.,Information Technology,0000796343,True,True,True
ADEA,Adeia Inc.,,0001803696,False,True,False
ADGM,"Adagio Medical Holdings, Inc",,0002006986,False,True,False
ADI,Analog Devices,Information Technology,0000006281,True,True,True
ADIL,"Adial Pharmaceuticals, Inc",,0001513525,False,True,False
ADM,Archer Daniels Midland,Consumer Staples,0000007084,True,False,True
ADMA,ADMA Biologics Inc,,0001368514,False,True,False
ADP,Automatic Data Processing,Industrials,0000008670,True,True,True
ADPT,Adaptive Biotechnologies Corporation,,0001478320,False,True,False
ADSE,ADS-TEC ENERGY PLC,,0001879248,False,True,False
ADSK,Autodesk,Information Technology,0000769397,True,True,False
ADTN,"ADTRAN Holdings, Inc.",,0000926282,False,True,False
ADUR,Aduro Clean Technologies Inc.,,0001863934,False,True,False
ADUS,Addus HomeCare Corporation,,0001468328,False,True,False
ADV,Advantage Solutions Inc.,,0001776661,False,True,False
ADVB,Advanced Biomed Inc.,,0001941029,False,True,False
AEAQ,Activate Energy Acquisition Corp.,,0002083689,False,True,False
AEBI,Aebi Schmidt Holding AG,,0002048519,False,True,False
AEC,Anfield Energy Inc.,,0001519469,False,True,False
AEE,Ameren,Utilities,0001002910,True,False,True
AEHL,Antelope Enterprise Holdings Limited,,0001470683,False,True,False
AEHR,Aehr Test Systems,,0001040470,False,True,False
AEI,Alset Inc.,,0001750106,False,True,False
AEIS,"Advanced Energy Industries, Inc.",,0000927003,False,True,False
AEMD,"Aethlon Medical, Inc.",,0000882291,False,True,False
AENT,Alliance Entertainment Holding Corporation,,0001823584,False,True,False
AEP,American Electric Power,Utilities,0000004904,True,True,True
AERT,"Aeries Technology, Inc.",,0001853044,False,True,False
AES,AES Corporation,Utilities,0000874761,True,False,True
AESP,Aeon Acquisition I Corp.,,0002082526,False,True,False
AEVA,"Aeva Technologies, Inc.",,0001789029,False,True,False
AEYE,"AudioEye, Inc.",,0001362190,False,True,False
AFCG,Advanced Flower Capital Inc.,,0001822523,False,True,False
AFJK,"Aimei Health Technology Co., Ltd",,0001979005,False,True,False
AFL,Aflac,Financials,0000004977,True,False,True
AFRI,Forafric Global PLC,,0001903870,False,True,False
AFRM,"Affirm Holdings, Inc.",,0001820953,False,True,False
AFYA,Afya Limited,,0001771007,False,True,False
AGCC,Agencia Comercial Spirits Ltd,,0002060016,False,True,False
AGEN,Agenus Inc.,,0001098972,False,True,False
AGIO,"Agios Pharmaceuticals, Inc.",,0001439222,False,True,False
AGMB,AgomAb Therapeutics NV,,0002020932,False,True,False
AGMH,AGM Group Holdings Inc.,,0001705402,False,True,False
AGNC,AGNC Investment Corp.,,0001423689,False,True,False
AGNT,"AGNT, Inc.",,0001495932,False,True,False
AGPU,Axe Compute Inc.,,0001446159,False,True,False
AGRZ,Agroz Inc.,,0002009233,False,True,False
AGYS,"Agilysys, Inc.",,0000078749,False,True,False
AHCO,AdaptHealth Corp.,,0001725255,False,True,False
AHMA,Ambitions Enterprise Management Co. L.L.C,,0002010959,False,True,False
AIAI,AIAI Holdings Corporation,,0002096362,False,True,False
AIBZ,Bitzero Holdings Inc.,,0002100457,False,True,False
AIDX,"20/20 Biolabs, Inc.",,0001139685,False,True,False
AIFA,"All In FutureTech Alliance, Inc.",,0001708341,False,True,False
AIFC,AI Financial Corporation,,0000862861,False,True,False
AIFF,"Firefly Neuroscience, Inc.",,0000803578,False,True,False
AIFU,AIFU Inc.,,0001413855,False,True,False
AIG,American International Group,Financials,0000005272,True,False,True
AIHS,Senmiao Technology Limited,,0001711012,False,True,False
AIIO,Robo.ai Inc.,,0001932737,False,True,False
AIIR,Air Global PLC,,0002097725,False,True,False
AIMD,"Ainos, Inc.",,0001014763,False,True,False
AIOS,AIOS Tech Inc.,,0001603993,False,True,False
AIOT,"PowerFleet, Inc.",,0001774170,False,True,False
AIP,"Arteris, Inc.",,0001667011,False,True,False
AIRE,reAlpha Tech Corp.,,0001859199,False,True,False
AIRG,"Airgain, Inc.",,0001272842,False,True,False
AIRJ,AirJoule Technologies Corporation,,0001855474,False,True,False
AIRO,"AIRO Group Holdings, Inc.",,0001927958,False,True,False
AIRS,"AirSculpt Technologies, Inc.",,0001870940,False,True,False
AIRT,"Air T, Inc.",,0000353184,False,True,False
AIRTP,"Air T, Inc.",,0000353184,False,True,False
AISP,"Airship AI Holdings, Inc",,0001842566,False,True,False
AIXC,"AIxCrypto Holdings, Inc.",,0001460702,False,True,False
AIZ,Assurant,Financials,0001267238,True,False,True
AJG,Arthur J. Gallagher & Co.,Financials,0000354190,True,False,True
AKAM,Akamai Technologies,Information Technology,0001086222,True,True,False
AKAN,Akanda Corp.,,0001888014,False,True,False
AKBA,"Akebia Therapeutics, Inc.",,0001517022,False,True,False
AKTS,"Aktis Oncology, Inc.",,0002035832,False,True,False
ALAB,"Astera Labs, Inc.",,0001736297,False,True,False
ALB,Albemarle Corporation,Materials,0000915913,True,False,True
ALCO,"Alico, Inc.",,0000003545,False,True,False
ALDF,Aldel Financial II Inc.,,0002031561,False,True,False
ALDX,"Aldeyra Therapeutics, Inc.",,0001341235,False,True,False
ALEC,"Alector, Inc.",,0001653087,False,True,False
ALF,Centurion Acquisition Corp.,,0002010930,False,True,False
ALGM,"Allegro MicroSystems, Inc.",,0000866291,False,True,False
ALGN,Align Technology,Health Care,0001097149,True,True,False
ALGS,"Aligos Therapeutics, Inc.",,0001799448,False,True,False
ALGT,Allegiant Travel Company,,0001362468,False,True,False
ALHC,"Alignment Healthcare, Inc.",,0001832466,False,True,False
ALIS,Calisa Acquisition Corp,,0002026767,False,True,False
ALK,"ALASKA AIR GROUP, INC.",,0000766421,False,False,True
ALKS,Alkermes plc,,0001520262,False,True,False
ALKT,"Alkami Technology, Inc.",,0001529274,False,True,False
ALL,Allstate,Financials,0000899051,True,False,True
ALLE,Allegion,Industrials,0001579241,True,False,False
ALLO,"Allogene Therapeutics, Inc.",,0001737287,False,True,False
ALLR,"Allarity Therapeutics, Inc.",,0001860657,False,True,False
ALLT,Allot Ltd.,,0001365767,False,True,False
ALLY,Ally Financial Inc.,,0000040729,False,False,True
ALM,Almonty Industries Inc.,,0001670061,False,True,False
ALMR,"Alamar Biosciences, Inc.",,0002104204,False,True,False
ALMS,Alumis Inc.,,0001847367,False,True,False
ALMU,"Aeluma, Inc.",,0001828805,False,True,False
ALNT,Allient Inc.,,0000046129,False,True,False
ALNY,"Alnylam Pharmaceuticals, Inc.",,0001178670,False,True,False
ALOT,"AstroNova, Inc.",,0000008146,False,True,False
ALOV,"Aldabra 4 Liquidity Opportunity Vehicle, Inc.",,0002083989,False,True,False
ALOY,REalloys Inc.,,0001567900,False,True,False
ALP,Alpha Compute Corp,,0001095435,False,True,False
ALPS,ALPS Group Inc,,0002025774,False,True,False
ALPX,Alpex Acquisition Corporation,,0002125551,False,True,False
ALRM,"Alarm.com Holdings, Inc.",,0001459200,False,True,False
ALRS,Alerus Financial Corporation,,0000903419,False,True,False
ALT,"Altimmune, Inc.",,0001326190,False,True,False
ALTI,"AlTi Global, Inc.",,0001838615,False,True,False
ALTO,"Alto Ingredients, Inc.",,0000778164,False,True,False
ALV,AUTOLIV INC,,0001034670,False,False,True
ALVO,Alvotech,,0001898416,False,True,False
ALXO,ALX Oncology Holdings Inc.,,0001810182,False,True,False
ALZN,"Alzamend Neuro, Inc.",,0001677077,False,True,False
AMAL,Amalgamated Financial Corp.,,0001823608,False,True,False
AMAN,Amanat Acquisition Corp,,0002112457,False,True,False
AMAT,Applied Materials,Information Technology,0000006951,True,True,False
AMBA,"Ambarella, Inc.",,0001280263,False,True,False
AMCI,AMC Robotics Corporation,,0001937891,False,True,False
AMCR,Amcor,Materials,0001748790,True,False,False
AMCX,AMC Global Media Inc.,,0001514991,False,True,False
AMD,Advanced Micro Devices,Information Technology,0000002488,True,True,True
AME,Ametek,Industrials,0001037868,True,False,False
AMGN,Amgen,Health Care,0000318154,True,True,True
AMIX,"Autonomix Medical, Inc.",,0001617867,False,True,False
AMKR,"Amkor Technology, Inc.",,0001047127,False,True,False
AMLX,"Amylyx Pharmaceuticals, Inc.",,0001658551,False,True,False
AMOD,"Alpha Modus Holdings, Inc.",,0001862463,False,True,False
AMP,Ameriprise Financial,Financials,0000820027,True,False,True
AMPG,"Amplitech Group, Inc.",,0001518461,False,True,False
AMPGZ,"Amplitech Group, Inc.",,0001518461,False,True,False
AMPH,"Amphastar Pharmaceuticals, Inc.",,0001297184,False,True,False
AMPL,"Amplitude, Inc.",,0001866692,False,True,False
AMRX,"Amneal Pharmaceuticals, Inc.",,0001723128,False,True,False
AMSC,American Superconductor Corporation,,0000880807,False,True,False
AMSF,"AMERISAFE, Inc.",,0001018979,False,True,False
AMSS,AMASS Brands Inc.,,0001851491,False,True,False
AMST,Amesite Inc.,,0001807166,False,True,False
AMT,American Tower,Real Estate,0001053507,True,False,False
AMTX,"Aemetis, Inc",,0000738214,False,True,False
AMZN,Amazon,Consumer Discretionary,0001018724,True,True,True
AN,"AUTONATION, INC.",,0000350698,False,False,True
ANAB,"AnaptysBio, Inc.",,0001370053,False,True,False
ANDE,"The Andersons, Inc.",,0000821026,False,True,True
ANET,Arista Networks,Information Technology,0001596532,True,False,False
ANGH,Anghami Inc.,,0001871983,False,True,False
ANGI,Angi Inc.,,0001705110,False,True,False
ANGO,"AngioDynamics, Inc.",,0001275187,False,True,False
ANIK,Anika Therapeutics Inc.,,0000898437,False,True,False
ANIP,"ANI Pharmaceuticals, Inc.",,0001023024,False,True,False
ANIX,"Anixa Biosciences, Inc.",,0000715446,False,True,False
ANNA,"AleAnna, Inc.",,0001845123,False,True,False
ANNX,"Annexon, Inc.",,0001528115,False,True,False
ANPA,Rich Sparkle Holdings Limited,,0002031688,False,True,False
ANSC,Agriculture & Natural Solutions Acquisition Corporation,,0001854149,False,True,False
ANTA,Antalpha Platform Holding Company,,0002044255,False,True,False
ANTX,"AN2 Therapeutics, Inc.",,0001880438,False,True,False
